Name,Skills,College,Degree,Field,Company,Position
Aarav Sharma,"Big Data, Hadoop, Hive, Python, Mapreduce, Spark, Java, Machine Learning, Cloud, Hdfs, YARN, Core Java, Data Science, C++, Data Structures, DBMS, RDBMS, Informatica, Talend, Amazon Redshift, Microsoft Azure","The Amity School of Engineering & Technology (ASET), Noida",B.Tech,Electronics,Coca-COla,Big Data Analyst
Aarav Patel,"Data Analysis, Data Analytics, Business Analysis, R, SAS, PowerBi, Tableau, Data Visualization, Business Analytics, Machine Learning","Delhi University - Hansraj College, Delhi University - Hansraj College","B.Sc (Maths), M.Sc (Science) (Statistics)","Mathematics, Statistics",BIB Consultancy,Business Analyst
Aanya Chauhan,"Software Development, Machine Learning, Deep Learning, Risk Assessment, Requirement Gathering, Application Support, JavaScript, Python, Docker, HTML, Hive, CSS, C, C++","Birla Institute of Technology (BIT), Ranchi",B.Tech,Electronics/Telecommunication,Axis Bank Limited,Software Developer (Machine Learning Engineer)
Kabir Patel,"accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi, closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel, Outlook, PowerPoint, Word, mortgage loan, Enterprise, policies, QuickBooks, Sales, sales reports, telecommunications, phone, workflow, written","Martinez Adult Education, Business Training Center City , State",Computer Applications Specialist Certificate Program,Computer Applications,"Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, Company Name City , State, N/A","Accountant, Accounts Receivable Clerk, Mortgage Underwriter, Commercial Auto Underwriter, Personal Auto Underwriter, Claims Examiner"
Tanya Rao,"Analytical reasoning, Compliance testing knowledge, Effective time management, Public and private accounting, accounting, accounting systems, accounts payable, accounts receivable, administrative, AR, billing, closing, client, clients, documentation, financial, financial reports, preparation of financial reports, Preparation of financial statements, fixed assets, managing, month-end closing, policies, maintain records, reporting, Research, sales, tax, taxes, tax returns, annual reports, year-end",Kent State University,Bachelor of Business Administration,Accounting,"Company Name, Company Name, Company Name, Company Name, Company Name","Staff Accountant, Senior Accountant, Tax Analyst, Staff Accountant II, Staff Auditor II"
Ishaan Chauhan,"Microsoft Applications, Network Security, Networking, PC hardware and software installation, configuration, and troubleshooting, Remote Desktop and Help Desk Management, Verbal Communication, Technical Support, Team Leadership, Programming Languages, On-call tech support, Windows & Mac OS, Wiring/Wire Spicing: Cat3, Cat5, Cat5e, Coaxial, Management, VoIP, TCP/IP, IPSec, ATM, SS7, IPX, DNS, BIND, DHCP, HSRP and LAN/WAN architecture, Application Development, Voice Over IP Telephone, Inventory Management","Glen Oaks High School, Glen Oaks High School","Bachelor Degree, Associate Degree","Electronics and Communications Engineering Technology, Software Development","N/A, Company Name, Company Name","Engineering Systems Installer, IT Technician/QA Tester, Installation/Service Technician"
Aisha Singh,"Machine Learning, Linear Regression, Ridge Regression, Lasso Regression, Tableau, Time Series Analysis",DJR College and University,B.Tech,IT,Remiro Amio,Intern
Vikram Reddy,"Maintenance, Corrective Maintenance, Documentation, Industrial Machinery, Preventive Maintenance, Sensors, Biotechnology, Electrical Mechanical, Estimation, Hydraulics, Mechanical Technician, Pneumatics, Project Manager, Sop, Manufacturing Process, Apqp, Assembly, Circuit Boards, Dmm, Electrical Test, Esd, First Article Inspection, Inspection, Medical Devices, Oscilloscope, Production Process, Schematic, Soldering, Surface Mount, Test Engineer, Through-hole, Wiring, Calibration, Control Systems, Packaging, Process Control, Sensor, Temperature, And Humidity, Control System Design, Electrical Engineer, Engineer, Entry Level, Ieee, Mechanical/electrical Engineer, Proactive, Self Motivated, Testing, Training, Electrical Engineering, Pr, Public Relations",POLYTECHNIC UNIVERSITY OF PUERTO RICO,Bachelor of Science,Electrical Engineering,"Company Name, Company Name, Company Name","Engineering Technician, Instrument Technician, Project Manager Assistance"
Sara Chopra,"Python, Machine Learning, MySQL, Data Mining, Deep Learning, Data Analysis, Computer Vision, Flask API, Predictive Modeling, AWS, Scikit-Learn, Numpy, Statistical Analysis, Multivariate Analysis, Decision Trees, Random Forest, Xgboost, NLP",Nagpur University,B.Tech/B.E.,Electronics/Telecommunication,AMZ Loans and Mortgages ERC Analytics,Associate Analyst
Vihaan Reddy,"Django, Python, Relational databases, RestAPI, Github, Jira, PostgreSQL, Software development, Debugging, Machine learning, Natural language Processing, Artificial Intelligence, Data Analysis, Docker, Tornado, Software Developer, Project Management","Dr. Virendra Swaroop Institute of Computer Studies, Kanpur, Pranveer Singh Institute of Technology, Kanpur","BCA, MCA","Computers, Computers",Daffodil Software Pvt Ltd,Software Developer
